case,region,region1,MW
newlines_v02,APY,OR,0
newlines_v02,APY,TG,0
newlines_v02,APY,TNY,0
newlines_v02,AR,AS,0
newlines_v02,AR,NL,0
newlines_v02,AS,ML,0
newlines_v02,BR,CT,0
newlines_v02,BR,JH,0
newlines_v02,BR,SK,0
newlines_v02,BR,UP,0
newlines_v02,CT,MP,0
newlines_v02,CT,OR,0
newlines_v02,CT,TG,0
newlines_v02,DL,HR,0
newlines_v02,DL,UP,0
newlines_v02,DL,UT,0
newlines_v02,GA,KA,0
newlines_v02,GJN,MH,0
newlines_v02,GJN,RJ,0
newlines_v02,HP,JK,0
newlines_v02,HP,PBH,0
newlines_v02,HP,UT,0
newlines_v02,HR,PBH,0
newlines_v02,HR,RJ,0
newlines_v02,JH,OR,0
newlines_v02,JH,WB,0
newlines_v02,KA,KLY,0
newlines_v02,KA,MH,0
newlines_v02,KA,TG,0
newlines_v02,KLY,TNY,0
newlines_v02,MH,MP,0
newlines_v02,MH,TG,0
newlines_v02,ML,SK,0
newlines_v02,MN,MZ,0
newlines_v02,MN,NL,0
newlines_v02,MP,RJ,0
newlines_v02,MP,UP,0
newlines_v02,MZ,TR,0
newlines_v02,TR,WB,0
